"","InfoPrecos","sinopse","itens","link","codigo"
"1","Locação: 1.389,00
Condomínio R$ 269,00","Operação: Locação
Cidade: São Carlos
Dormitórios: 2 / Sendo 1 Suite
Banheiros: 2
Vagas na Garagem: 1, Tipo do Imóvel: Padrão
Bairro: Centro
Condomínio: 269,00 / Mês - (Sujeito a alterações)
Suítes: 1
Área Útil: 50.00 M²
Área Total: 50.00 M²","Área de Serviço : 1
Armários
Cozinha : 1
Interfone
Sacada : 1
Sala : 1
Sala de Estar
Sala de Jantar
Vagas Cobertas : 1
Varanda","https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/110923","110923"
"2","Locação: 1.000,00","Operação: Locação
Cidade: São Carlos
Dormitórios: 2
Banheiros: 1
Vagas na Garagem: 1, Tipo do Imóvel: Padrão
Bairro: Centro
Área Útil: 54.00 M²
Área Total: 60.00 M²","Área de Serviço : 1
Armários
Cozinha : 1
Interfone
Mobiliado
Sala : 1
Vagas Cobertas : 1, Cerca Elétrica
Zelador, Portão Eletrônico","https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/110473","110473"
"3","Locação: 1.600,00
Condomínio R$ 300,00
IPTU / Mês R$ 33,00","Operação: Locação
Cidade: São Carlos
Dormitórios: 2 / Sendo 1 Suite
Banheiros: 1
Vagas na Garagem: 1, Tipo do Imóvel: Padrão
Bairro: Centro
Condomínio: 300,00 / Mês - (Sujeito a alterações)
IPTU: 33,00 / Mês - (Sujeito a alterações)
Suítes: 1
Área Útil: 66.00 M²
Área Total: 66.00 M²","Área de Serviço : 1
Armários
Cozinha : 1
Elevador de Serviço : 1
Elevador Social : 1
Interfone
Porteiro Eletrônico
Sacada : 1
Sala : 1
Sala de Jantar","https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/110471","110471"
"4","Locação: 1.800,00
Condomínio R$ 345,00","Operação: Locação
Cidade: São Carlos
Dormitórios: 2 / Sendo 1 Suite
Banheiros: 1
Vagas na Garagem: 1, Tipo do Imóvel: Padrão
Bairro: Centro
Condomínio: 345,00 / Mês - (Sujeito a alterações)
Suítes: 1
Área Útil: 68.00 M²","Apartamentos por Andar : 4
Área de Serviço : 1
Cozinha : 1
Elevador de Serviço : 1
Elevador Social : 1
Sacada : 1
Sala : 1","https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/110380","110380"
"5","Locação: 1.278,00
Condomínio R$ 200,00
IPTU / Mês R$ 78,00","Operação: Locação
Cidade: São Carlos
Dormitórios: 2 / Sendo 1 Suite
Banheiros: 1
Vagas na Garagem: 1, Tipo do Imóvel: Padrão
Bairro: Jardim Alvorada
Condomínio: 200,00 / Mês - (Sujeito a alterações)
IPTU: 78,00 / Mês - (Sujeito a alterações)
Suítes: 1
Área Útil: 65.00 M²
Área Total: 65.00 M²","Área de Serviço : 1
Armários
Cozinha : 1
Elevador de Serviço : 1
Interfone
Sala : 1
Sala de TV
Vagas Cobertas : 1","https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Alvorada/110261","110261"
"6","Locação: 1.333,00 Venda: 240.000,00
Condomínio R$ 450,00
IPTU / Mês R$ 74,73","Operação: Locação ou Venda
Cidade: São Carlos
Dormitórios: 2
Banheiros: 1
Vagas na Garagem: 1, Tipo do Imóvel: Padrão
Bairro: Centro
Condomínio: 450,00 / Mês - (Sujeito a alterações)
IPTU: 74,73 / Mês - (Sujeito a alterações)
Área Útil: 50.00 M²
Área Total: 78.00 M²","Área de Serviço : 1
Armários
Copa
Cozinha : 1
Elevador de Serviço : 1
Elevador Social : 1
Sacada : 3
Sala : 1
Vagas Cobertas : 1
Varanda","https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/109924","109924"
"7","Locação: 1.112,00
Condomínio R$ 210,00
IPTU / Mês R$ 38,80","Operação: Locação
Cidade: São Carlos
Dormitórios: 2
Banheiros: 1
Vagas na Garagem: 1, Tipo do Imóvel: Padrão
Bairro: Centro
Condomínio: 210,00 / Mês - (Sujeito a alterações)
IPTU: 38,80 / Mês - (Sujeito a alterações)
Área Útil: 70.00 M²
Área Total: 70.00 M²","Apartamentos por Andar : 4
Área de Serviço : 1
Cozinha : 1
Sala : 1
Sala de Estar
Vagas Cobertas : 1
Varanda","https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/109413","109413"
"8","Locação: 1.450,00
Condomínio R$ 280,00
IPTU / Mês R$ 72,00","Operação: Locação
Cidade: São Carlos
Dormitórios: 2 / Sendo 1 Suite
Banheiros: 1
Vagas na Garagem: 1, Tipo do Imóvel: Padrão
Bairro: Centro
Condomínio: 280,00 / Mês - (Sujeito a alterações)
IPTU: 72,00 / Mês - (Sujeito a alterações)
Suítes: 1
Área Útil: 70.00 M²
Área Total: 70.00 M²","Área de Serviço : 1
Armários
Cozinha : 1
Elevador de Serviço : 1
Elevador Social : 1
Interfone
Sacada : 1
Sala : 1
Salão de Festa : 1","https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/109335","109335"
"9","Locação: 1.490,00
Condomínio R$ 270,00
IPTU / Mês R$ 65,00","Operação: Locação
Cidade: São Carlos
Dormitórios: 2 / Sendo 1 Suite
Banheiros: 1
Vagas na Garagem: 1, Tipo do Imóvel: Padrão
Bairro: Jardim Alvorada
Condomínio: 270,00 / Mês - (Sujeito a alterações)
IPTU: 65,00 / Mês - (Sujeito a alterações)
Suítes: 1
Área Útil: 60.00 M²
Área Total: 66.00 M²","Área de Serviço : 1
Armários
Cozinha : 1
Elevador Social : 1
Interfone
Sacada : 1
Sala : 1
Vagas Cobertas : 1","https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Alvorada/109206","109206"
"10","Locação: 1.250,00
Condomínio R$ 225,40
IPTU / Mês R$ 66,38","Operação: Locação
Cidade: São Carlos
Dormitórios: 2 / Sendo 1 Suite
Banheiros: 1
Vagas na Garagem: 1, Tipo do Imóvel: Padrão
Bairro: Jardim Alvorada
Condomínio: 225,40 / Mês - (Sujeito a alterações)
IPTU: 66,38 / Mês - (Sujeito a alterações)
Suítes: 1
Área Útil: 70.00 M²
Área Total: 70.00 M²","Área de Serviço : 1
Armários
Cozinha : 1
Guarda Volumes : 1
Interfone
Sacada : 1
Sala : 1
Vagas Cobertas : 1
Varanda","https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Alvorada/108818","108818"
